"state","start","end","dataset"
2,1,2,"Frequent Transitions"
1,3,6,"Frequent Transitions"
2,7,66,"Frequent Transitions"
1,67,78,"Frequent Transitions"
2,79,146,"Frequent Transitions"
1,147,150,"Frequent Transitions"
2,151,187,"Frequent Transitions"
1,188,194,"Frequent Transitions"
2,195,214,"Frequent Transitions"
1,215,290,"Frequent Transitions"
2,291,339,"Frequent Transitions"
1,340,353,"Frequent Transitions"
2,354,354,"Frequent Transitions"
1,355,443,"Frequent Transitions"
2,444,469,"Frequent Transitions"
1,470,504,"Frequent Transitions"
2,505,572,"Frequent Transitions"
1,573,708,"Frequent Transitions"
2,709,722,"Frequent Transitions"
1,723,766,"Frequent Transitions"
2,767,823,"Frequent Transitions"
1,824,903,"Frequent Transitions"
2,904,924,"Frequent Transitions"
1,925,943,"Frequent Transitions"
2,944,1000,"Frequent Transitions"
