"Cycle","Time","Iso","LatentIso","Microns","Fish_id","Watershed","Year","MA","TrueState","StateConfidence"
1,0,0.706004489107,0.707010039276386,302,"simulated_frequent","Simulated",2023,0.707473496854571,1,0.993307149075715
2,0.524,0.706663300609717,0.707026979314943,304,"simulated_frequent","Simulated",2023,0.707633566423527,1,0.982013790037908
3,1.048,0.706064162081346,0.707071138809766,306,"simulated_frequent","Simulated",2023,0.707689900371426,1,0.952574126822433
4,1.572,0.707369195048024,0.707178804383033,308,"simulated_frequent","Simulated",2023,0.707685086257049,1,0.880797077977882
5,2.096,0.707522917271495,0.707403412132055,310,"simulated_frequent","Simulated",2023,0.707688945095219,1,0.731058578630005
6,2.62,0.706808340631705,0.70775,312,"simulated_frequent","Simulated",2023,0.707761164812263,2,0.5
7,3.144,0.709342679547149,0.708096587867945,314,"simulated_frequent","Simulated",2023,0.70783159132376,2,0.731058578630005
8,3.668,0.708673694796043,0.708321195616967,316,"simulated_frequent","Simulated",2023,0.707975523078822,2,0.880797077977882
9,4.192,0.707210427670501,0.708428861190234,318,"simulated_frequent","Simulated",2023,0.708112429205175,2,0.952574126822433
10,4.716,0.707579591858073,0.708473020685057,320,"simulated_frequent","Simulated",2023,0.708189133897885,2,0.982013790037908
11,5.24,0.708969666779227,0.7085,322,"simulated_frequent","Simulated",2023,0.7082914404604,2,0.993307149075715
12,5.764,0.709394331682044,0.708510039276386,324,"simulated_frequent","Simulated",2023,0.708470058765814,2,0.993307149075715
13,6.288,0.708365907746216,0.708526979314943,326,"simulated_frequent","Simulated",2023,0.708645541258118,2,0.982013790037908
14,6.812,0.70762250277014,0.708571138809766,328,"simulated_frequent","Simulated",2023,0.708895041244975,2,0.952574126822433
15,7.336,0.707742968829607,0.708678804383033,330,"simulated_frequent","Simulated",2023,0.709020514905603,2,0.880797077977882
16,7.86,0.708844460567922,0.708903412132055,332,"simulated_frequent","Simulated",2023,0.709163047556547,2,0.731058578630005
17,8.384,0.708958415507711,0.70925,334,"simulated_frequent","Simulated",2023,0.709306137982453,3,0.5
18,8.908,0.710422362914871,0.709596587867945,336,"simulated_frequent","Simulated",2023,0.709360828938414,3,0.731058578630005
19,9.432,0.710576739479529,0.709821195616967,338,"simulated_frequent","Simulated",2023,0.709468855090459,3,0.880797077977882
20,9.956,0.709646523059387,0.709928861190234,340,"simulated_frequent","Simulated",2023,0.70963574377036,3,0.952574126822433
21,10.48,0.710337571710686,0.709973020685057,342,"simulated_frequent","Simulated",2023,0.709881727504008,3,0.982013790037908
22,11.004,0.7097554735207,0.71,344,"simulated_frequent","Simulated",2023,0.710051948011422,3,0.993307149075715
23,11.528,0.710348432948104,0.710010039276386,346,"simulated_frequent","Simulated",2023,0.710193398016777,3,0.993307149075715
24,12.052,0.711303661805333,0.710026979314943,348,"simulated_frequent","Simulated",2023,0.710300000718768,3,0.982013790037908
25,12.576,0.710004141921229,0.710071138809766,350,"simulated_frequent","Simulated",2023,0.71043218757878,3,0.952574126822433
26,13.1,0.710516102941313,0.710178804383033,352,"simulated_frequent","Simulated",2023,0.710592351186132,3,0.880797077977882
27,13.624,0.709813239575733,0.710403412132055,354,"simulated_frequent","Simulated",2023,0.71077321062405,3,0.731058578630005
28,14.148,0.71049118962232,0.71075,356,"simulated_frequent","Simulated",2023,0.710909587295472,4,0.5
29,14.672,0.710942243989002,0.711096587867945,358,"simulated_frequent","Simulated",2023,0.710926435864795,4,0.731058578630005
30,15.196,0.710715089948403,0.711321195616967,360,"simulated_frequent","Simulated",2023,0.711011890653088,4,0.880797077977882
31,15.72,0.71274525026469,0.711428861190234,362,"simulated_frequent","Simulated",2023,0.711093078157186,4,0.952574126822433
32,16.244,0.712544297434914,0.711473020685057,364,"simulated_frequent","Simulated",2023,0.711099260201156,4,0.982013790037908
33,16.768,0.712364781794511,0.7115,366,"simulated_frequent","Simulated",2023,0.711205544126863,4,0.993307149075715
34,17.292,0.710604564488027,0.7115,368,"simulated_frequent","Simulated",2023,0.711303783338651,4,1
35,17.816,0.710398426830396,0.7115,370,"simulated_frequent","Simulated",2023,0.711367913678276,4,1
36,18.34,0.711106404583994,0.7115,372,"simulated_frequent","Simulated",2023,0.711371757269446,4,1
37,18.864,0.712642508764192,0.7115,374,"simulated_frequent","Simulated",2023,0.711421802848037,4,1
38,19.388,0.711822325607575,0.7115,376,"simulated_frequent","Simulated",2023,0.711451191359374,4,1
39,19.912,0.71077618287066,0.7115,378,"simulated_frequent","Simulated",2023,0.711457162018077,4,1
40,20.436,0.712371290033683,0.7115,380,"simulated_frequent","Simulated",2023,0.711372649641503,4,1
41,20.96,0.711351460645441,0.7115,382,"simulated_frequent","Simulated",2023,0.711309429815337,4,1
42,21.484,0.710467394634057,0.7115,384,"simulated_frequent","Simulated",2023,0.711155063126091,4,1
43,22.008,0.711987435960547,0.711489960723613,386,"simulated_frequent","Simulated",2023,0.711062588479621,4,0.993307149075715
44,22.532,0.712411456395651,0.711473020685057,388,"simulated_frequent","Simulated",2023,0.710902748722166,4,0.982013790037908
45,23.056,0.712650398937468,0.711428861190234,390,"simulated_frequent","Simulated",2023,0.710885126215168,4,0.952574126822433
46,23.58,0.710084857335801,0.711321195616967,392,"simulated_frequent","Simulated",2023,0.71080942777436,4,0.880797077977882
47,24.104,0.711567060091722,0.711096587867945,394,"simulated_frequent","Simulated",2023,0.710756590689762,4,0.731058578630005
48,24.628,0.710430398313794,0.71075,396,"simulated_frequent","Simulated",2023,0.71064766172881,3,0.5
49,25.152,0.710616573455088,0.710403412132055,398,"simulated_frequent","Simulated",2023,0.710591907524728,3,0.731058578630005
50,25.676,0.709167484080956,0.710178804383033,400,"simulated_frequent","Simulated",2023,0.710605325163828,3,0.880797077977882
51,26.2,0.70938747359892,0.710071138809766,402,"simulated_frequent","Simulated",2023,0.710586998652458,3,0.952574126822433
52,26.724,0.70950354979051,0.710026979314943,404,"simulated_frequent","Simulated",2023,0.710656149234261,3,0.982013790037908
53,27.248,0.710602329859044,0.71,406,"simulated_frequent","Simulated",2023,0.710749423970233,3,0.993307149075715
54,27.772,0.709008146887961,0.710010039276386,408,"simulated_frequent","Simulated",2023,0.710674469576964,3,0.993307149075715
55,28.296,0.710234491841064,0.710026979314943,410,"simulated_frequent","Simulated",2023,0.710640113729827,3,0.982013790037908
56,28.82,0.708808759573433,0.710071138809766,412,"simulated_frequent","Simulated",2023,0.710623946891877,3,0.952574126822433
57,29.344,0.709996825807427,0.710178804383033,414,"simulated_frequent","Simulated",2023,0.710738438263048,3,0.880797077977882
58,29.868,0.710355000584197,0.710403412132055,416,"simulated_frequent","Simulated",2023,0.710734674476424,3,0.731058578630005
59,30.392,0.710651487321872,0.71075,418,"simulated_frequent","Simulated",2023,0.710749429664216,4,0.5
60,30.916,0.711057953291762,0.711096587867945,420,"simulated_frequent","Simulated",2023,0.71078800091135,4,0.731058578630005
61,31.44,0.711986433294902,0.711321195616967,422,"simulated_frequent","Simulated",2023,0.710962245807168,4,0.880797077977882
62,31.964,0.712803622863297,0.711428861190234,424,"simulated_frequent","Simulated",2023,0.711087556898407,4,0.952574126822433
63,32.488,0.712426164089481,0.711473020685057,426,"simulated_frequent","Simulated",2023,0.711118686384993,4,0.982013790037908
64,33.012,0.710413393701892,0.7115,428,"simulated_frequent","Simulated",2023,0.711217792374962,4,0.993307149075715
65,33.536,0.71168998360578,0.7115,430,"simulated_frequent","Simulated",2023,0.711363862017786,4,1
66,34.06,0.712310895340517,0.7115,432,"simulated_frequent","Simulated",2023,0.711422338886189,4,1
67,34.584,0.712489176130388,0.7115,434,"simulated_frequent","Simulated",2023,0.711549543035722,4,1
