"Cycle","Time","Iso","BaseSignal","TrueState","StateFactor","BlurredIso","Iso_SNR_50","Iso_SNR_20","Iso_SNR_10","Iso_SNR_5"
1,177.636,0.707041176941103,0.7078,0,"Core",0.707609227679559,0.746226449442074,0.886349945335292,0.892750977156622,1.11424642977035
2,178.16,0.707433292234501,0.7078,0,"Core",0.707722223186133,0.760349102642397,0.918975652727025,0.801874252755629,0.983181393613076
3,178.684,0.708353213863075,0.7078,0,"Core",0.707724755137051,0.689883048570686,0.897320034466699,0.781632249767803,1.14392232978019
4,179.208,0.708061209705853,0.7078,0,"Core",0.708028849950563,0.713775801627004,0.877381367283464,0.719062966166378,1.20453255811236
5,179.732,0.707734882940723,0.7078,0,"Core",0.707956993801519,0.594514622808726,0.870941498580334,0.847545355974343,1.33640617378249
6,180.256,0.708561651008665,0.7078,0,"Core",0.707508180235236,0.632063477024997,0.672064460329639,0.940266092653774,1.06283199942763
7,180.78,0.707074011489279,0.7078,0,"Core",0.707251591128098,0.554661969521084,0.831194364664469,0.874589058709027,1.059664474586
8,181.304,0.70610914603166,0.7078,0,"Core",0.707054452877159,0.782782732720249,0.565677134400254,0.54740472215768,0.450440531657754
9,181.828,0.70677826417016,0.7078,0,"Core",0.70690425708054,0.685900179254089,0.822528523693269,0.717399539098049,0.304354488217776
10,182.352,0.706749191686031,0.7078,0,"Core",0.706954451925757,0.529190806930339,0.846052012091818,0.651626546229962,0.437638599150456
11,182.876,0.707810672025571,0.7078,0,"Core",0.707301703910357,0.688733312881543,0.826472336869027,0.625429011463549,0.395060092158789
12,183.4,0.707324985715362,0.7078,0,"Core",0.707612271010905,0.603379344288801,0.707223909500854,0.682637197132549,0.703015939885066
13,183.924,0.707845405954661,0.7078,0,"Core",0.707751204583033,0.603556832561698,0.845585007813462,0.716585993470031,0.760286425317906
14,184.448,0.708331099672902,0.7078,0,"Core",0.707886107051706,0.637760880358739,0.778113456785336,0.890132918535345,0.700078768375842
15,184.972,0.70744385954667,0.7078,0,"Core",0.708145712974369,0.739185734989312,0.466701053586317,0.803359174204412,0.420470573386247
16,185.496,0.708485184368937,0.7078,0,"Core",0.707800450354894,0.726532448664748,0.578571178212368,0.504515323735155,0.999180882079061
17,186.02,0.708623015328674,0.7078,0,"Core",0.70763471843228,0.793195966919491,0.4555795164517,0.507980046336584,0.727875583680842
18,186.544,0.706119092857285,0.7078,0,"Core",0.707774384505854,0.724520107455071,0.460895885845882,0.617548905424263,0.40099232948684
19,187.068,0.707502440059831,0.7078,0,"Core",0.707830926254951,0.85757110990904,0.651992323949094,0.835603551955227,0.857807812095006
20,187.592,0.708142189914542,0.7078,0,"Core",0.707870437925524,0.731261857748688,0.768908436256111,0.80714305994002,0.62392209403797
21,188.116,0.708767893114423,0.7078,0,"Core",0.708175796573616,0.652234351070424,0.738122192373769,0.545790813554399,1.01877548765666
22,188.64,0.708820573681538,0.7078,0,"Core",0.708229209545736,0.729397649839978,0.795681881898318,0.483828508048888,1.04855204653982
23,189.164,0.707645886097746,0.7078,0,"Core",0.708079743271358,0.830081920819177,0.70225190762024,0.814094553318426,1.15115757736077
24,189.688,0.70776950492043,0.7078,0,"Core",0.70784980999035,0.668649855715467,0.704023349798636,0.580122287648509,1.02368093040645
25,190.212,0.707394858542654,0.7078,0,"Core",0.707741445963986,0.757805853604385,0.723640926051345,0.84963493778756,0.943654769833722
26,190.736,0.70761822670938,0.7078,0,"Core",0.707833277619588,0.749009466617228,0.769152423395145,0.876251941631105,0.348386974295305
27,191.26,0.708278753549721,0.7078,0,"Core",0.707819518043615,0.692877575830529,0.613662132117025,0.973458379066198,0.843381301027809
28,191.784,0.708105044375755,0.7078,0,"Core",0.708015945382391,0.65979762253786,0.737290322142761,0.843029053525721,0.85508782225731
29,192.308,0.707700707040564,0.7078,0,"Core",0.708173111219454,0.694710114928117,0.741666000105412,1.02414763263699,1.14333545936989
30,192.832,0.708376995236536,0.7078,0,"Core",0.708027775693872,0.833052379550665,0.699252929380396,1.12627327115936,0.758654764257216
31,193.356,0.708404055894692,0.7078,0,"Core",0.708105249000654,0.847911278876527,0.593614030424967,1.05126170122351,0.827438444850686
32,193.88,0.707552075921813,0.7078,0,"Core",0.708356865835685,0.898833152875159,0.574816474923559,0.982402404527901,0.84850175557306
33,194.404,0.708492410909666,0.7078,0,"Core",0.708325542030377,0.914450854410311,0.743273210723367,1.08765283075553,1.1779529255676
34,194.928,0.708958791215719,0.7078,0,"Core",0.708385736374631,0.831523138187552,0.748511617343738,0.9889431084929,1.09195171993625
35,195.452,0.708220376209994,0.7078,0,"Core",0.708520258716948,0.808048898018305,0.554818015746682,0.866472973780485,1.05313003777363
36,195.976,0.708705027615962,0.7078,0,"Core",0.70842570273573,0.717114137622688,0.739842192915879,0.816553061499526,0.980316971437607
37,196.5,0.708224687633401,0.7078,0,"Core",0.708218614133681,0.677685985146355,0.599350613700806,0.867417545752263,0.943311197875291
38,197.024,0.708019631003573,0.7078,0,"Core",0.708092458288176,0.615139850107233,0.674529002976633,0.755121733871688,0.910659400230361
39,197.548,0.707923348205477,0.7078,0,"Core",0.707865968901708,0.48761025420244,0.769129958381604,0.574861196194385,1.23481660314824
40,198.072,0.707589596982468,0.7078,0,"Core",0.707653987338915,0.717353343364607,0.516007252616901,0.548602288565347,1.09152240176816
41,198.596,0.70757258068362,0.7078,0,"Core",0.707395531200007,0.649125941280338,0.649599261603972,0.873104052482547,1.09903380127521
42,199.12,0.707164779819435,0.7078,0,"Core",0.707608743026486,0.616055457517864,0.792698713683547,0.768536617663318,0.798432711114039
43,199.644,0.706727350309035,0.7078,0,"Core",0.707568897474629,0.609752804680656,0.620672904787674,0.953933874138362,0.691418315423201
44,200.168,0.708989407337875,0.7078,0,"Core",0.707211372212213,0.580915312972069,0.702356790053239,0.990198797594186,0.795067285774372
45,200.692,0.707390369223182,0.7078,0,"Core",0.706978445221876,0.578783207436805,0.811992013546448,0.728100962751217,0.761669271455332
46,201.216,0.70578495437154,0.7078,0,"Core",0.706763622875249,0.624767560323826,0.568399008883884,0.495311311620113,0.76309735149803
47,201.74,0.706000144867751,0.7078,0,"Core",0.706377815498816,0.699121586203644,0.701424990109524,0.670761407368919,0.844650956124812
48,202.264,0.705653238575896,0.7078,0,"Core",0.706193966218073,0.633775768198813,0.566427645798086,0.580778668195442,0.422743728794735
49,202.788,0.707060370455712,0.7078,0,"Core",0.70622564551601,0.726011301150231,0.556288917692792,0.727510738761183,0.716545575012496
50,203.312,0.706471122819466,0.7078,0,"Core",0.706241341815009,0.753055119098143,0.666972043179152,0.294716755410726,0.728367879475564
51,203.836,0.705943350861225,0.7078,0,"Core",0.706388349492611,0.649683375266231,0.581763035358654,0.339413224229828,0.683434939222644
52,204.36,0.706078626362744,0.7078,0,"Core",0.706564173884206,0.678234168845232,0.887933268050464,0.77064622673738,0.452521444719885
53,204.884,0.70638827696391,0.7078,0,"Core",0.706620723786182,0.807461816169465,0.490948907634777,0.83746869305827,0.672782926739605
