"Index","Time","Iso","TrueState","Dataset"
1,0,0.707020207963791,1,"Moderate Transitions"
2,0.524,0.707162879875954,1,"Moderate Transitions"
3,1.048,0.706377947401302,1,"Moderate Transitions"
4,1.572,0.706610567881586,1,"Moderate Transitions"
5,2.096,0.70667428468857,1,"Moderate Transitions"
6,2.62,0.707152039576135,1,"Moderate Transitions"
7,3.144,0.706567665945133,1,"Moderate Transitions"
8,3.668,0.706639342272002,1,"Moderate Transitions"
9,4.192,0.706304949692544,1,"Moderate Transitions"
10,4.716,0.706913283306127,1,"Moderate Transitions"
11,5.24,0.706575406836811,1,"Moderate Transitions"
12,5.764,0.706651031030761,1,"Moderate Transitions"
13,6.288,0.707108156015445,1,"Moderate Transitions"
14,6.812,0.707320853741001,1,"Moderate Transitions"
15,7.336,0.707108689208608,1,"Moderate Transitions"
16,7.86,0.706612099676113,1,"Moderate Transitions"
17,8.384,0.707331108437711,1,"Moderate Transitions"
18,8.908,0.707631697304733,1,"Moderate Transitions"
19,9.432,0.70734277047012,1,"Moderate Transitions"
20,9.956,0.706544685192266,1,"Moderate Transitions"
21,10.48,0.707367441462865,1,"Moderate Transitions"
22,11.004,0.707569376616087,1,"Moderate Transitions"
23,11.528,0.706579654119722,1,"Moderate Transitions"
24,12.052,0.706970527935866,1,"Moderate Transitions"
25,12.576,0.706435268330155,1,"Moderate Transitions"
26,13.1,0.706527840394061,1,"Moderate Transitions"
27,13.624,0.706478885101946,1,"Moderate Transitions"
28,14.148,0.7073976586984,1,"Moderate Transitions"
29,14.672,0.707241598434746,1,"Moderate Transitions"
30,15.196,0.707491822082549,1,"Moderate Transitions"
31,15.72,0.707470976178395,1,"Moderate Transitions"
32,16.244,0.70631439370811,1,"Moderate Transitions"
33,16.768,0.706677555814292,1,"Moderate Transitions"
34,17.292,0.707607126431819,1,"Moderate Transitions"
35,17.816,0.707578672648733,1,"Moderate Transitions"
36,18.34,0.706860399233038,1,"Moderate Transitions"
