"Cycle","Time","Iso","LatentIso","Microns","Fish_id","Watershed","Year","MA","TrueState","StateConfidence"
1,0,0.709755174657459,0.710010039276386,302,"simulated_rare","Simulated",2023,0.710453627607371,3,0.993307149075715
2,0.524,0.711087376434014,0.7100149277028,304,"simulated_rare","Simulated",2023,0.710477066062268,3,0.990048198133096
3,1.048,0.711255469443563,0.71002216104754,306,"simulated_rare","Simulated",2023,0.71040678698944,3,0.985225968306727
4,1.572,0.708760380104696,0.710032821906404,308,"simulated_rare","Simulated",2023,0.710516606555415,3,0.97811872906387
5,2.096,0.710127138563579,0.710048443197048,310,"simulated_rare","Simulated",2023,0.710499334792756,3,0.967704535301549
6,2.62,0.71116991213407,0.710071138809766,312,"simulated_rare","Simulated",2023,0.710456523528323,3,0.952574126822433
7,3.144,0.710247725671019,0.710103707630515,314,"simulated_rare","Simulated",2023,0.710472107664706,3,0.930861579656653
8,3.668,0.710028146992529,0.71014962573368,316,"simulated_rare","Simulated",2023,0.710588092440015,3,0.900249510880315
9,4.192,0.71149190996433,0.710212776597351,318,"simulated_rare","Simulated",2023,0.710685618330082,3,0.858148935099512
10,4.716,0.710166059804497,0.710296724167162,320,"simulated_rare","Simulated",2023,0.710748144508914,3,0.802183888558582
11,5.24,0.710900609911323,0.710403412132055,322,"simulated_rare","Simulated",2023,0.710799293830813,3,0.731058578630005
12,5.764,0.710734889066139,0.710531515540661,324,"simulated_rare","Simulated",2023,0.710945976569862,3,0.645656306225795
13,6.288,0.709563438115495,0.710675249004031,326,"simulated_rare","Simulated",2023,0.710984823136391,3,0.549833997312478
14,6.812,0.711944260913094,0.710824750995969,328,"simulated_rare","Simulated",2023,0.711023216223047,4,0.549833997312478
15,7.336,0.710257530115532,0.710968484459339,330,"simulated_rare","Simulated",2023,0.71115883894027,4,0.645656306225796
16,7.86,0.709814354561831,0.711096587867945,332,"simulated_rare","Simulated",2023,0.711236765563778,4,0.731058578630005
17,8.384,0.710721453846829,0.711203275832838,334,"simulated_rare","Simulated",2023,0.711205432519893,4,0.802183888558582
18,8.908,0.712559833620261,0.711287223402649,336,"simulated_rare","Simulated",2023,0.711318704503479,4,0.858148935099512
19,9.432,0.712441084351299,0.71135037426632,338,"simulated_rare","Simulated",2023,0.711428188397622,4,0.900249510880315
20,9.956,0.711936141906723,0.711396292369485,340,"simulated_rare","Simulated",2023,0.711425613100228,4,0.930861579656653
21,10.48,0.711822280268785,0.711428861190234,342,"simulated_rare","Simulated",2023,0.711451321786696,4,0.952574126822433
22,11.004,0.712835512177499,0.711451556802952,344,"simulated_rare","Simulated",2023,0.711444080943252,4,0.967704535301549
23,11.528,0.71190315433112,0.711467178093596,346,"simulated_rare","Simulated",2023,0.711469120975354,4,0.978118729063869
24,12.052,0.71206172426333,0.71147783895246,348,"simulated_rare","Simulated",2023,0.711543850934739,4,0.985225968306727
25,12.576,0.711608457166391,0.7114850722972,350,"simulated_rare","Simulated",2023,0.711474536461623,4,0.990048198133096
26,13.1,0.711763597657252,0.7115,352,"simulated_rare","Simulated",2023,0.711529163354251,4,0.993307149075715
27,13.624,0.710511918212473,0.7115,354,"simulated_rare","Simulated",2023,0.711657142546685,4,1
28,14.148,0.712626437326334,0.7115,356,"simulated_rare","Simulated",2023,0.711686509516254,4,1
29,14.672,0.712327308769524,0.7115,358,"simulated_rare","Simulated",2023,0.711585627816619,4,1
30,15.196,0.711437828719057,0.7115,360,"simulated_rare","Simulated",2023,0.71150168512803,4,1
31,15.72,0.710705942220334,0.7115,362,"simulated_rare","Simulated",2023,0.711514690847712,4,1
32,16.244,0.710748552198987,0.7115,364,"simulated_rare","Simulated",2023,0.711482605871698,4,1
33,16.768,0.71126072974028,0.7115,366,"simulated_rare","Simulated",2023,0.711364988808512,4,1
34,17.292,0.711132767262589,0.7115,368,"simulated_rare","Simulated",2023,0.711315708802497,4,1
35,17.816,0.710488656977657,0.7115,370,"simulated_rare","Simulated",2023,0.711282095540238,4,1
36,18.34,0.711404694860708,0.7115,372,"simulated_rare","Simulated",2023,0.71131858284787,4,1
37,18.864,0.71250191760296,0.7115,374,"simulated_rare","Simulated",2023,0.711298008136824,4,1
38,19.388,0.711338160207774,0.7115,376,"simulated_rare","Simulated",2023,0.711362289134723,4,1
39,19.912,0.71044131792793,0.7115,378,"simulated_rare","Simulated",2023,0.711242065898484,4,1
40,20.436,0.710678287890926,0.7115,380,"simulated_rare","Simulated",2023,0.711165352760814,4,1
41,20.96,0.712209262020048,0.7115,382,"simulated_rare","Simulated",2023,0.711183349431772,4,1
42,21.484,0.711148495772481,0.7115,384,"simulated_rare","Simulated",2023,0.711169313096907,4,1
43,22.008,0.710365553850587,0.7115,386,"simulated_rare","Simulated",2023,0.711227503737186,4,1
44,22.532,0.710868274204805,0.7115,388,"simulated_rare","Simulated",2023,0.711277323670282,4,1
45,23.056,0.711355845755897,0.7115,390,"simulated_rare","Simulated",2023,0.711286129975691,4,1
46,23.58,0.712374690626655,0.7115,392,"simulated_rare","Simulated",2023,0.711386695982485,4,1
47,24.104,0.711331528725289,0.7115,394,"simulated_rare","Simulated",2023,0.711347908009154,4,1
48,24.628,0.711861819168366,0.7115,396,"simulated_rare","Simulated",2023,0.711320611237114,4,1
49,25.152,0.710101749365311,0.7115,398,"simulated_rare","Simulated",2023,0.711349218977615,4,1
50,25.676,0.710716332878452,0.7115,400,"simulated_rare","Simulated",2023,0.711357991225521,4,1
51,26.2,0.711815758809168,0.7115,402,"simulated_rare","Simulated",2023,0.711342933038467,4,1
52,26.724,0.710411179188173,0.7115,404,"simulated_rare","Simulated",2023,0.71131069271788,4,1
53,27.248,0.711970555644855,0.7115,406,"simulated_rare","Simulated",2023,0.711305140819804,4,1
54,27.772,0.712306948335282,0.7115,408,"simulated_rare","Simulated",2023,0.711419758575347,4,1
55,28.296,0.711317699676193,0.7115,410,"simulated_rare","Simulated",2023,0.711501887452354,4,1
56,28.82,0.712600543120317,0.7115,412,"simulated_rare","Simulated",2023,0.711523249937811,4,1
57,29.344,0.710590147420764,0.7115,414,"simulated_rare","Simulated",2023,0.711434543962,4,1
58,29.868,0.711928685390111,0.7115,416,"simulated_rare","Simulated",2023,0.711416063590317,4,1
59,30.392,0.711938922758307,0.7115,418,"simulated_rare","Simulated",2023,0.711458531031447,4,1
60,30.916,0.710625535133947,0.7115,420,"simulated_rare","Simulated",2023,0.711477420301083,4,1
61,31.44,0.710362065962795,0.7115,422,"simulated_rare","Simulated",2023,0.711575283281536,4,1
62,31.964,0.711532215287723,0.7115,424,"simulated_rare","Simulated",2023,0.711547515185332,4,1
63,32.488,0.711031905912887,0.7115,426,"simulated_rare","Simulated",2023,0.711575339877698,4,1
64,33.012,0.712772526717,0.7115,428,"simulated_rare","Simulated",2023,0.711515568150207,4,1
65,33.536,0.712592980621941,0.7115,430,"simulated_rare","Simulated",2023,0.711541704599466,4,1
66,34.06,0.711804457950499,0.7115,432,"simulated_rare","Simulated",2023,0.711495858100584,4,1
67,34.584,0.71051186513463,0.7115,434,"simulated_rare","Simulated",2023,0.711468785565533,4,1
