"Cycle","Time","Iso","BaseSignal","TrueState","StateFactor"
1,177.636,0.707041176941103,0.7078,0,"Core"
2,178.16,0.707433292234501,0.7078,0,"Core"
3,178.684,0.708353213863075,0.7078,0,"Core"
4,179.208,0.708061209705853,0.7078,0,"Core"
5,179.732,0.707734882940723,0.7078,0,"Core"
6,180.256,0.708561651008665,0.7078,0,"Core"
7,180.78,0.707074011489279,0.7078,0,"Core"
8,181.304,0.70610914603166,0.7078,0,"Core"
9,181.828,0.70677826417016,0.7078,0,"Core"
10,182.352,0.706749191686031,0.7078,0,"Core"
11,182.876,0.707810672025571,0.7078,0,"Core"
12,183.4,0.707324985715362,0.7078,0,"Core"
13,183.924,0.707845405954661,0.7078,0,"Core"
14,184.448,0.708331099672902,0.7078,0,"Core"
15,184.972,0.70744385954667,0.7078,0,"Core"
16,185.496,0.708485184368937,0.7078,0,"Core"
17,186.02,0.708623015328674,0.7078,0,"Core"
18,186.544,0.706119092857285,0.7078,0,"Core"
19,187.068,0.707502440059831,0.7078,0,"Core"
20,187.592,0.708142189914542,0.7078,0,"Core"
21,188.116,0.708767893114423,0.7078,0,"Core"
22,188.64,0.708820573681538,0.7078,0,"Core"
23,189.164,0.707645886097746,0.7078,0,"Core"
24,189.688,0.70776950492043,0.7078,0,"Core"
25,190.212,0.707394858542654,0.7078,0,"Core"
26,190.736,0.70761822670938,0.7078,0,"Core"
27,191.26,0.708278753549721,0.7078,0,"Core"
28,191.784,0.708105044375755,0.7078,0,"Core"
29,192.308,0.707700707040564,0.7078,0,"Core"
30,192.832,0.708376995236536,0.7078,0,"Core"
31,193.356,0.708404055894692,0.7078,0,"Core"
32,193.88,0.707552075921813,0.7078,0,"Core"
33,194.404,0.708492410909666,0.7078,0,"Core"
34,194.928,0.708958791215719,0.7078,0,"Core"
35,195.452,0.708220376209994,0.7078,0,"Core"
36,195.976,0.708705027615962,0.7078,0,"Core"
37,196.5,0.708224687633401,0.7078,0,"Core"
38,197.024,0.708019631003573,0.7078,0,"Core"
39,197.548,0.707923348205477,0.7078,0,"Core"
40,198.072,0.707589596982468,0.7078,0,"Core"
41,198.596,0.70757258068362,0.7078,0,"Core"
42,199.12,0.707164779819435,0.7078,0,"Core"
43,199.644,0.706727350309035,0.7078,0,"Core"
44,200.168,0.708989407337875,0.7078,0,"Core"
45,200.692,0.707390369223182,0.7078,0,"Core"
46,201.216,0.70578495437154,0.7078,0,"Core"
47,201.74,0.706000144867751,0.7078,0,"Core"
48,202.264,0.705653238575896,0.7078,0,"Core"
49,202.788,0.707060370455712,0.7078,0,"Core"
50,203.312,0.706471122819466,0.7078,0,"Core"
51,203.836,0.705943350861225,0.7078,0,"Core"
52,204.36,0.706078626362744,0.7078,0,"Core"
53,204.884,0.70638827696391,0.7078,0,"Core"
54,205.408,0.707939492413685,0.7078,0,"Core"
55,205.932,0.706753872329346,0.7078,0,"Core"
56,206.456,0.708485610405607,0.7078,0,"Core"
57,206.98,0.707173967528074,0.7078,0,"Core"
58,207.504,0.708377323704768,0.7078,0,"Core"
59,208.028,0.70763517606773,0.7078,0,"Core"
60,208.552,0.708726078986386,0.7078,0,"Core"
61,209.076,0.708480360066741,0.7078,0,"Core"
62,209.6,0.706979767709109,0.7078,0,"Core"
63,210.124,0.707133118677434,0.7078,0,"Core"
64,210.648,0.705973295931568,0.7078,0,"Core"
65,211.172,0.706186657865054,0.7078,0,"Core"
66,211.696,0.706986438253912,0.7078,0,"Core"
67,212.22,0.707689291487763,0.7078,0,"Core"
68,212.744,0.708096880825148,0.7078,0,"Core"
69,213.268,0.708087346349737,0.7078,0,"Core"
70,213.792,0.709106445608059,0.7078,0,"Core"
71,214.316,0.708463628257478,0.7078,0,"Core"
72,214.84,0.706889744248113,0.7078,0,"Core"
73,215.364,0.708147697159135,0.7078,0,"Core"
74,215.888,0.707662168328118,0.7078,0,"Core"
75,216.412,0.707699257773325,0.7078,0,"Core"
76,216.936,0.708757456622161,0.7078,0,"Core"
77,217.46,0.708321601452086,0.707450376152219,0.5,"Core"
78,217.984,0.707736660441675,0.707443949475639,0.5,"Core"
79,218.508,0.708686100981906,0.70743744973143,0.5,"Core"
80,219.032,0.708483484439331,0.70743087773196,0.5,"Core"
81,219.556,0.70842936331328,0.707424234353413,0.5,"Core"
82,220.08,0.708504775762686,0.707417520536188,0.5,"Core"
83,220.604,0.708497299439703,0.707410737285216,0.5,"Core"
84,221.128,0.708115268526824,0.707403885670152,0.5,"Core"
85,221.652,0.707006568387667,0.707396966825466,0.5,"Core"
86,222.176,0.707655737324254,0.70738998195042,0.5,"Core"
87,222.7,0.707941412057749,0.707382932308928,0.5,"Core"
88,223.224,0.707637454750123,0.707375819229291,0.5,"Core"
89,223.748,0.707607148342429,0.707368644103819,0.5,"Core"
90,224.272,0.708593488743435,0.707361408388321,0.5,"Core"
91,224.796,0.708179903859897,0.707354113601476,0.5,"Core"
92,225.32,0.70769501470063,0.707346761324066,0.5,"Core"
93,225.844,0.70754735679792,0.707339353198093,0.5,"Core"
94,226.368,0.707611493194976,0.707331890925759,0.5,"Core"
95,226.892,0.708633201450984,0.707324376268314,0.5,"Core"
96,227.416,0.708173134277506,0.707316811044784,0.5,"Core"
97,227.94,0.709208562310268,0.707309197130562,0.5,"Core"
98,228.464,0.709194664649818,0.707301536455878,0.5,"Core"
99,228.988,0.708406257996686,0.707293831004134,0.5,"Core"
100,229.512,0.707940108110896,0.707286082810128,0.5,"Core"
101,230.036,0.707947506055331,0.707278293958146,0.5,"Core"
102,230.56,0.707976058001271,0.70727046657994,0.5,"Core"
103,231.084,0.707488742855504,0.707262602852593,0.5,"Core"
104,231.608,0.707440271603922,0.707254704996267,0.5,"Core"
105,232.132,0.70704694696871,0.707246775271855,0.5,"Core"
106,232.656,0.707881101036651,0.707238815978522,0.5,"Core"
107,233.18,0.707249077899204,0.707230829451152,0.5,"Core"
108,233.704,0.706641149106567,0.707222818057708,0.5,"Core"
109,234.228,0.706959122804586,0.707214784196506,0.5,"Core"
110,234.752,0.707551176741424,0.707206730293408,0.5,"Core"
111,235.276,0.70679606619693,0.707198658798947,0.5,"Core"
112,235.8,0.70625724307505,0.707190572185386,0.5,"Core"
113,236.324,0.704824997850957,0.707182472943723,0.5,"Core"
114,236.848,0.706026365525869,0.707174363580642,0.5,"Core"
115,237.372,0.706509156379561,0.70716624661543,0.5,"Core"
116,237.896,0.706066510907341,0.707158124576849,0.5,"Core"
117,238.42,0.705337535763639,0.70715,0.5,"Core"
118,238.944,0.705338626175636,0.707141875423151,0.5,"Core"
119,239.468,0.705997621724048,0.70713375338457,0.5,"Core"
120,239.992,0.707002295698765,0.707125636419358,0.5,"Core"
121,240.516,0.70742922853027,0.707117527056277,0.5,"Core"
122,241.04,0.707559297650645,0.707109427814614,0.5,"Core"
123,241.564,0.707544098558207,0.707101341201053,0.5,"Core"
124,242.088,0.707504614917925,0.707093269706592,0.5,"Core"
125,242.612,0.708547133377987,0.707085215803494,0.5,"Core"
126,243.136,0.706693908969128,0.707077181942292,0.5,"Core"
127,243.66,0.707120896112922,0.707069170548848,0.5,"Core"
128,244.184,0.707508210890208,0.707061184021478,0.5,"Core"
129,244.708,0.706483066028417,0.707053224728145,0.5,"Core"
130,245.232,0.706786376657864,0.707045295003733,0.5,"Core"
131,245.756,0.707029502189424,0.707037397147407,0.5,"Core"
132,246.28,0.706921342273787,0.70702953342006,0.5,"Core"
133,246.804,0.707020962173076,0.707021706041854,0.5,"Core"
134,247.328,0.707111890218472,0.707013917189872,0.5,"Core"
135,247.852,0.705586095380677,0.707006168995866,0.5,"Core"
136,248.376,0.707342334665113,0.706998463544122,0.5,"Core"
137,248.9,0.705633195748149,0.706990802869438,0.5,"Core"
138,249.424,0.706913869426218,0.706983188955216,0.5,"Core"
139,249.948,0.708293982177192,0.706975623731686,0.5,"Core"
140,250.472,0.706249064512916,0.706968109074241,0.5,"Core"
141,250.996,0.707671912043476,0.706960646801907,0.5,"Core"
142,251.52,0.706699566790909,0.706953238675934,0.5,"Core"
143,252.044,0.7058347490155,0.706945886398524,0.5,"Core"
144,252.568,0.706173072947665,0.706938591611679,0.5,"Core"
145,253.092,0.705785302288179,0.706931355896181,0.5,"Core"
